Name,date of death,date of birth,Place,country,latitude,longitude
Vincent Artuso,,1980-01-01T00:00:00Z,Esch-sur-Alzette,Luxembourg,49.496944444444,5.9805555555556
Vincent Artuso,,1980-01-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Alain Atten,,1938-02-22T00:00:00Z,Wilwerwiltz,Luxembourg,49.98,5.99
Alain Atten,,1938-02-22T00:00:00Z,Esch-sur-Sûre,Luxembourg,49.911,5.93467
Alain Atten,,1938-02-22T00:00:00Z,Hosingen,Luxembourg,50.013888888889,6.0902777777778
Alain Atten,,1938-02-22T00:00:00Z,Olingen,Luxembourg,49.683333333333,6.3166666666667
Alain Atten,,1938-02-22T00:00:00Z,Trier,Germany,49.75565,6.63935
Evamarie Bange,,1961-01-01T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Evamarie Bange,,1961-01-01T00:00:00Z,Freiburg im Breisgau,Germany,47.995,7.85
Evamarie Bange,,1961-01-01T00:00:00Z,Munich,Germany,48.1375,11.575
Charles Barthel,,1960-01-03T00:00:00Z,Strasbourg,France,48.573333333333,7.7522222222222
Charles Barthel,,1960-01-03T00:00:00Z,Aix-en-Provence,France,43.527777777778,5.4455555555556
Théodore Bassing,1926-12-17T00:00:00Z,1867-01-06T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Simone Beck,,1950-12-12T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Simone Beck,,1950-12-12T00:00:00Z,Freiburg im Breisgau,Germany,47.995,7.85
Romaine Berens,,1940-09-05T00:00:00Z,Dudelange,Luxembourg,49.48056,6.0875
Romaine Berens,,1940-09-05T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Romaine Berens,,1940-09-05T00:00:00Z,Tétange,Luxembourg,49.476667,6.039444
Romaine Berens,,1940-09-05T00:00:00Z,Fribourg,Switzerland,46.8,7.15
Romaine Berens,,1940-09-05T00:00:00Z,Bern,Switzerland,46.94798,7.44743
Isabelle Bernard-Lesceux,,1959-02-26T00:00:00Z,Bukavu,Democratic Republic of the Congo,-2.5,28.866666666667
Isabelle Bernard-Lesceux,,1959-02-26T00:00:00Z,Namur,Belgium,50.466666666667,4.8666666666667
Isabelle Bernard-Lesceux,,1959-02-26T00:00:00Z,Leuven,Belgium,50.8775,4.704444
Isabelle Bernard-Lesceux,,1959-02-26T00:00:00Z,Luxembourg,Luxembourg,49.610555555556,6.1327777777778
Isabelle Bernard-Lesceux,,1959-02-26T00:00:00Z,Beckerich,Luxembourg,49.730555555555554,5.883333333333333
