Jahr;Originaltitel;Sprache;lemmatisierter Titel
1982;Recherches sur la noblesse du Duché de Luxemburg au XVe siècle. Essai de classification et étude des relations interfamiliales;Französisch;recherche noblesse duché Luxemburg  essai classification étude relation interfamilial
1984;Nobles et chevaliers dans le comté de Luxemburg (XIIe-XIIIe siècles);Französisch;noble chevalier comté Luxemburg 
1999;Autorité publique et conscience dynastique. Études sur les représentations du pouvoir entre Meuse et Mosel. Les origines du comté de Luxemburg (Xe-début XIIe s.);Französisch;autorité publique conscience dynastique étude représentation pouvoir meuse Mosel origine comté Luxemburg début
1992;Das Leben in der mittelalterlichen Stadt. Materialien für den projektorientierten Geschichtsunterricht;Deutsch;leben mittelalterlich stadt material projektorientiert geschichtsunterricht
1994;Ermesinde et l’affranchissement de la ville de Luxemburg. Études sur la femme, le pouvoir et la ville au XIIIe siècle;Französisch;ermesinde affranchissement Luxemburg étude femme pouvoir 
1996;Un itinéraire européen. Jean l’Aveugle, comte de Luxemburg et roi de Bohême 1296-1346;Französisch;itinéraire européen jean aveugle comte Luxemburg roi bohême
1996;Entdecken und Verstehen : Geschichtsbuch für den technischen Sekundarunterricht in Luxemburg, vol. 1, Von der Frühzeit des Menschen bis zum Ende des Römischen Reiches;Deutsch;entdecken verstehen geschichtsbuch technisch sekundarunterricht luxemburg frühzeit mensch ende römisch reich
1997;Entdecken und Verstehen : Geschichtsbuch für den technischen Sekundarunterricht in Luxemburg, vol. 2, Vom Mittelalter bis zur Entstehung der Nationalstaaten;Deutsch;entdecken verstehen geschichtsbuch technisch sekundarunterricht luxemburg mittelalter entstehung nationalstaat
1997;Entdecken und Verstehen : Geschichtsbuch für den technischen Sekundarunterricht in Luxemburg, vol. 3, Von der Industrialisierung bis zur Gegenwart;Deutsch;entdecken verstehen geschichtsbuch technisch sekundarunterricht luxemburg industrialisierung gegenwart
2006;Sépulture, mort et représentation du pouvoir au Moyen Âge. Tod, Grabmal und Herrschaftsrepräsentation im Mittelalter;Französisch/Deutsch;sépulture mort représentation pouvoir moyen âge tod grabmal herrschaftsrepräsentation mittelalter
2006;L’Histoire à l’Université du Luxemburg = Hémecht 58/1 (2006);Französisch;histoire université Luxemburg hémecht
2007;Lieux de mémoire au Luxemburg. Usages du passé et construction nationale. Erinnerungsorte in Luxemburg. Umgang mit der Vergangenheit und Konstruktion der Nation;Französisch/Deutsch;lieu mémoire Luxemburg usage passé construction national erinnerungsort luxemburg umgang vergangenheit konstruktion nation
2009;Dépasser le cadre national des « lieux de mémoire ». Innovations méthodologiques, approches comparatives, lectures transnationales. Nationale Erinnerungsorte hinterfragt. Methodologische Innovationen, vergleichende Annäherungen, transnationale Lektüren;Französisch/Deutsch;dépasser cadre national lieu mémoire innovation méthodologique approche comparatif lecture transnational national erinnerungsort hinterfragt methodologisch innovation vergleichend annäherung transnational lektüre
2009;Der Weg zur Kaiserkrone. Der Romzug Heinrichs VII. in der Darstellung Erzbischof Balduins von Trier;Deutsch;weg kaiserkrone romzug heinrich darstellung erzbischof balduin trier
2010;Inventing Luxemburg. Representations of the Past, Space and Language from the Nineteenth to the Twenty-First Century;Englisch;inventing Luxemburg representation past space language nineteenth twenty first century
2011;De la mer du Nord à la Méditerranée. Francia Media. Une région au cœur de l’Europe (c. 840-c. 1050);Französisch;mer nord méditerranée francia media région cœur europe
2012;Peripheral memories. Public and Private Forms of Experiencing and Narrating the Past;Englisch;peripheral memory public private form experiencing narrating past
2013;Université du Luxemburg 2003 – 2013;Französisch;université Luxemburg
